uid,lat,lon,heading,country,city,district,ward,image_path
111,10.77184529947191,106.69620560092434,54.44465163748117,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_111.jpg
112,10.77210701329801,106.69657832982529,54.44465163748117,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_112.jpg
113,10.780223799465697,106.68955010093528,224.26146396905727,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_113.jpg
114,10.779901106118515,106.68922997193116,224.26146396905727,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_114.jpg
115,10.780223799465697,106.68955010093528,44.267766549370975,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_115.jpg
116,10.780546457632814,106.6898702664398,44.267766549370975,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_116.jpg
117,10.780223799465697,106.68955010093528,132.81203047589142,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_117.jpg
118,10.779917684002106,106.68988647214069,132.81203047589142,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_118.jpg
119,10.783496999466715,106.69336700093348,222.4458849187728,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_119.jpg
120,10.783164437083132,106.6930573738147,222.4458849187728,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_120.jpg
121,10.783119999466638,106.6930160009336,42.44581924837694,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_121.jpg
122,10.783452561906314,106.69332562796028,42.44581924837694,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_122.jpg
