osmid,y,x,street_count,highway,ref,railway,geometry,lon,lat,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
411917986,10.7915268,106.6890037,3,,,,POINT (106.6890037 10.7915268),106.6890037,10.7915268,314.2646789550781,41.11467895507815,0.060677528381347656,2.7660999298095703,-1.104988950449922,-10.9176398761593,9.88031588163296,2488.1499999999996,0.05361588470930695,0.16201851746019647,12.0,0.9993934746729546,2.0
411918011,10.7627194,106.6890566,1,,,,POINT (106.6890566 10.7627194),106.6890566,10.7627194,314.55523681640625,41.40523681640627,0.06384003162384033,2.777599811553955,7.975156571474088,-4.2526516496542115,-0.5332373868201277,2178.05,0.0359342899150589,0.15811388300841897,11.0,0.9989807191754762,2.0
411918058,10.7823428,106.695672,3,,,,POINT (106.695672 10.7823428),106.695672,10.7823428,312.41552734375,39.26552734375002,0.058532536029815674,2.7582998275756836,-3.5772674104638753,-11.363281518847032,3.176525603204352,5160.400000000001,0.03676084536952575,0.15811388300841897,12.0,0.9901540237147187,2.0
411918059,10.7912833,106.6897324,3,,,,POINT (106.6897324 10.7912833),106.6897324,10.7912833,315.01324462890625,41.86324462890627,0.06186002492904663,2.770400047302246,-4.314071863611886,-6.300147925339402,1.4603715757448479,3413.9500000000003,0.031781472383776384,0.15811388300841897,11.0,0.99879818216183,2.0
411918107,10.7910984,106.6896778,3,,,,POINT (106.6896778 10.7910984),106.6896778,10.7910984,315.03375244140625,41.88375244140627,0.062382519245147705,2.7723000049591064,-2.7137903807338546,-4.384074740333986,1.6154802417526657,3429.5,0.030836428096658007,0.15811388300841897,11.0,0.9981540783097468,2.0
411918126,10.786605,106.6993845,1,,,,POINT (106.6993845 10.786605),106.6993845,10.786605,313.5332336425781,40.38323364257815,0.06161254644393921,2.7695000171661377,-2.302620072777387,-2.529189568902922,1.0983963871435596,2601.6000000000004,0.005629945531762987,0.15811388300841897,20.0,0.9990193060214324,2.0
411918130,10.7854506,106.7005114,3,,,,POINT (106.7005114 10.7854506),106.7005114,10.7854506,314.82183837890625,41.67183837890627,0.06582003831863403,2.784799814224243,-5.324500772894837,-8.503018247412285,1.5969606560483876,6344.700000000001,0.00323486527699393,0.15811388300841897,16.0,0.9879327302659157,2.0
411918138,10.7871327,106.6912273,3,,,,POINT (106.6912273 10.7871327),106.6912273,10.7871327,313.0341796875,39.88417968750002,0.05655252933502197,2.7510998249053955,-4.5020147197143245,-8.726829675832874,1.9384276194429315,3859.8,0.04230607006825536,0.16583123951777,14.0,0.9953197710496555,2.0
411918139,10.7875958,106.6906746,3,,,,POINT (106.6906746 10.7875958),106.6906746,10.7875958,313.7212219238281,40.57122192382815,0.055590033531188965,2.7475998401641846,-2.5267216360441296,-3.9771367978489423,1.5740304515995687,5227.000000000001,0.03142591380838947,0.15811388300841897,14.0,0.9970909295348348,2.0
411918140,10.7878229,106.6908242,1,,,,POINT (106.6908242 10.7878229),106.6908242,10.7878229,313.7041320800781,40.55413208007815,0.056167542934417725,2.749699831008911,-4.843177148341113,-10.290325063701758,2.1247054874353304,7981.449999999999,0.006398594796458161,0.15811388300841892,12.0,0.9913218205257597,2.0
