osmid,y,x,street_count,highway,ref,railway,geometry
11502559285,10.7900859,106.7129239,1,,,,POINT (106.7129239 10.7900859)
11502559287,10.7898355,106.7125932,1,,,,POINT (106.7125932 10.7898355)
11502570535,10.7181906,106.6293529,1,,,,POINT (106.6293529 10.7181906)
11502570536,10.7180727,106.6296201,3,,,,POINT (106.6296201 10.7180727)
11502590538,10.7218777,106.6229718,1,,,,POINT (106.6229718 10.7218777)
11502590539,10.7214653,106.6229904,3,,,,POINT (106.6229904 10.7214653)
11502656026,10.8017417,106.7396204,3,,,,POINT (106.7396204 10.8017417)
11502674462,10.7203461,106.6294874,1,,,,POINT (106.6294874 10.7203461)
11502715372,10.7172169,106.6234899,1,,,,POINT (106.6234899 10.7172169)
11502715374,10.7177119,106.623589,3,,,,POINT (106.623589 10.7177119)
11502715378,10.7172676,106.623505,3,,,,POINT (106.623505 10.7172676)
11502715379,10.7172663,106.6234182,1,,,,POINT (106.6234182 10.7172663)
11502728479,10.7195624,106.6312683,1,,,,POINT (106.6312683 10.7195624)
11502728480,10.7192555,106.6319222,3,,,,POINT (106.6319222 10.7192555)
11502728481,10.7196777,106.6313408,1,,,,POINT (106.6313408 10.7196777)
11504481156,10.7741682,106.7098022,3,,,,POINT (106.7098022 10.7741682)
11504481375,10.7722177,106.7099519,3,,,,POINT (106.7099519 10.7722177)
11504481377,10.7735331,106.7097732,3,,,,POINT (106.7097732 10.7735331)
11504481429,10.7741851,106.7096674,3,,,,POINT (106.7096674 10.7741851)
11504481444,10.7750154,106.7098994,3,,,,POINT (106.7098994 10.7750154)
11505296168,10.7965215,106.7661385,4,,,,POINT (106.7661385 10.7965215)
11505526174,10.7378653,106.6816989,1,,,,POINT (106.6816989 10.7378653)
11505526176,10.737227,106.6811239,1,,,,POINT (106.6811239 10.737227)
11505526177,10.737752,106.6812831,3,,,,POINT (106.6812831 10.737752)
11505573151,10.7365791,106.683735,1,,,,POINT (106.683735 10.7365791)
11505573156,10.736804,106.6842196,3,,,,POINT (106.6842196 10.736804)
11507726315,10.7651368,106.6881584,1,,,,POINT (106.6881584 10.7651368)
11508241889,10.689392,106.5930084,3,,,,POINT (106.5930084 10.689392)
11510232020,10.7845033,106.7039333,3,,,,POINT (106.7039333 10.7845033)
11510232021,10.78441,106.7038502,3,,,,POINT (106.7038502 10.78441)
11512783612,10.7388189,106.6883365,3,,,,POINT (106.6883365 10.7388189)
11512783614,10.7387391,106.6879221,1,,,,POINT (106.6879221 10.7387391)
11518347996,10.7840821,106.7618513,1,,,,POINT (106.7618513 10.7840821)
11518347997,10.7840603,106.7623327,3,,,,POINT (106.7623327 10.7840603)
11518444267,10.7503635,106.6880037,3,,,,POINT (106.6880037 10.7503635)
11518450576,10.7503172,106.687828,3,,,,POINT (106.687828 10.7503172)
11518741182,10.805863,106.7422967,3,,,,POINT (106.7422967 10.805863)
11518741183,10.8048975,106.7424472,1,,,,POINT (106.7424472 10.8048975)
11524478641,10.7887972,106.717633,3,,,,POINT (106.717633 10.7887972)
11527164047,10.7262138,106.6283348,1,,,,POINT (106.6283348 10.7262138)
11527835965,10.761465,106.7589717,1,,,,POINT (106.7589717 10.761465)
11527850524,10.7557252,106.7300675,1,,,,POINT (106.7300675 10.7557252)
11527983166,10.7559011,106.7519376,1,,,,POINT (106.7519376 10.7559011)
11527994047,10.7593095,106.7359308,1,,,,POINT (106.7359308 10.7593095)
11527998403,10.7584228,106.7351831,1,,,,POINT (106.7351831 10.7584228)
11527998404,10.7587175,106.7350117,3,,,,POINT (106.7350117 10.7587175)
11527998674,10.7578932,106.7344328,1,,,,POINT (106.7344328 10.7578932)
11527998675,10.7577707,106.7341448,3,,,,POINT (106.7341448 10.7577707)
11527998721,10.7538615,106.7540444,1,,,,POINT (106.7540444 10.7538615)
11530103503,10.7775133,106.7776425,1,,,,POINT (106.7776425 10.7775133)
11530103507,10.7774781,106.7773725,3,,,,POINT (106.7773725 10.7774781)
11530186906,10.7788318,106.775729,3,,,,POINT (106.775729 10.7788318)
11530186907,10.7781148,106.7764043,3,,,,POINT (106.7764043 10.7781148)
11530187844,10.7814597,106.7717195,1,,,,POINT (106.7717195 10.7814597)
11530187845,10.7813799,106.7714431,3,,,,POINT (106.7714431 10.7813799)
11530191809,10.7793043,106.7761921,4,,,,POINT (106.7761921 10.7793043)
11530191813,10.7790224,106.7761492,3,,,,POINT (106.7761492 10.7790224)
11530193805,10.7831137,106.7730117,1,,,,POINT (106.7730117 10.7831137)
11530193808,10.7828465,106.7731445,3,,,,POINT (106.7731445 10.7828465)
11530243154,10.7781404,106.7717591,1,,,,POINT (106.7717591 10.7781404)
11530252656,10.7791265,106.7711905,1,,,,POINT (106.7711905 10.7791265)
11530263494,10.7796317,106.7656779,1,,,,POINT (106.7656779 10.7796317)
11530263495,10.7798905,106.7657902,3,,,,POINT (106.7657902 10.7798905)
11530267452,10.7781924,106.7738821,1,,,,POINT (106.7738821 10.7781924)
11530267453,10.7780976,106.7740269,3,,,,POINT (106.7740269 10.7780976)
11530293076,10.7811204,106.7700532,1,,,,POINT (106.7700532 10.7811204)
11530293080,10.7808695,106.7698267,3,,,,POINT (106.7698267 10.7808695)
11530339010,10.784927,106.7809242,1,,,,POINT (106.7809242 10.784927)
