u,v,key,osmid,highway,name,oneway,reversed,length,geometry,maxspeed,lanes,service,ref,bridge,width,tunnel,access,junction
411920596,12483592342,0,949874293,service,Hẻm 102 Trần Quang Khải,False,False,29.985359518953082,"LINESTRING (106.6926528 10.7927556, 106.6926095 10.7926707, 106.6926111 10.7926109, 106.6926156 10.7924961)",,,alley,,,,,,
411920596,411920831,0,949874293,service,Hẻm 102 Trần Quang Khải,False,True,34.75673242709852,"LINESTRING (106.6926528 10.7927556, 106.6926429 10.7929082, 106.6926581 10.7929823, 106.6926711 10.7930654)",,,alley,,,,,,
411920646,4593918580,0,464255913,residential,Hẻm TK26,False,True,49.96545560174517,"LINESTRING (106.68894 10.7595125, 106.68863 10.7591821)",,,,,,,,,
411920646,4593920689,0,464255914,service,,False,False,44.33854141029999,"LINESTRING (106.68894 10.7595125, 106.6892223 10.759799)",,,alley,,,,,,
411920646,4603846872,0,464843881,residential,Hẻm 391 Đường Trần Hưng Ðạo,False,True,68.93771436546655,"LINESTRING (106.68894 10.7595125, 106.6884601 10.7599151)",50,,,,,,,,
411920646,4593922849,0,464843881,residential,Hẻm 391 Đường Trần Hưng Ðạo,False,False,46.21914705102509,"LINESTRING (106.68894 10.7595125, 106.6890387 10.7594283, 106.6892594 10.7592399)",50,,,,,,,,
411920649,4593921832,0,464256322,residential,Hẻm TK 29,False,True,33.69000904215576,"LINESTRING (106.6894824 10.7589815, 106.6892826 10.7587507)",,,,,,,,,
411920649,4593922849,0,1111264851,residential,Hẻm 391 Đường Trần Hưng Ðạo,False,True,37.66979080952769,"LINESTRING (106.6894824 10.7589815, 106.6892594 10.7592399)",,,,,,,,,
411920649,10168312751,0,1111756155,residential,Hẻm 391 Đường Trần Hưng Ðạo,False,False,22.151430712707835,"LINESTRING (106.6894824 10.7589815, 106.689633 10.7588481)",,,,,,,,,
411920649,10819356892,0,1163363763,service,,False,False,54.78310230756318,"LINESTRING (106.6894824 10.7589815, 106.6896674 10.7592099, 106.6895284 10.7593571)",,,,,,,,,
411920652,411920654,0,35114696,residential,Hẻm 51 Cao Thắng,False,False,24.76929201249174,"LINESTRING (106.6812378 10.7697112, 106.6810996 10.7695346)",,,,,,,,,
411920652,411920656,0,35114696,residential,Hẻm 51 Cao Thắng,False,True,20.761025634168156,"LINESTRING (106.6812378 10.7697112, 106.6813625 10.7698521)",,,,,,,,,
411920652,411920530,0,35115191,service,Hẻm 51/22 Cao Thắng,False,True,73.8593869836585,"LINESTRING (106.6812378 10.7697112, 106.6807175 10.7701354)",,,alley,,,,,,
411920654,411920662,0,35114696,residential,Hẻm 51 Cao Thắng,False,False,28.160897366240434,"LINESTRING (106.6810996 10.7695346, 106.6809334 10.769341)",,,,,,,,,
411920654,411920652,0,35114696,residential,Hẻm 51 Cao Thắng,False,True,24.76929201249174,"LINESTRING (106.6810996 10.7695346, 106.6812378 10.7697112)",,,,,,,,,
411920654,411920534,0,35113929,service,Hẻm 51/36 Cao Thắng,False,True,74.91946548798411,"LINESTRING (106.6810996 10.7695346, 106.6807698 10.76981, 106.6805713 10.7699641)",,,alley,,,,,,
411920656,411920652,0,35114696,residential,Hẻm 51 Cao Thắng,False,False,20.761025634168156,"LINESTRING (106.6813625 10.7698521, 106.6812378 10.7697112)",,,,,,,,,
411920656,411918630,0,35114696,residential,Hẻm 51 Cao Thắng,False,True,71.8041474205955,"LINESTRING (106.6813625 10.7698521, 106.6818152 10.7703203)",,,,,,,,,
411920656,411925562,0,35114996,service,Hẻm 51/10 Cao Thắng,False,True,65.94108951977071,"LINESTRING (106.6813625 10.7698521, 106.6809066 10.7702408)",,,alley,,,,,,
411920658,6780803834,0,816201255,service,Hẻm 51 Cao Thắng,False,False,23.77749652282138,"LINESTRING (106.6804902 10.7688363, 106.6803571 10.7686671)",,,alley,,,,,,
